group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,bincode,idx=7; size=35038,35038,bytes,18227000.0,ns,228
ser_header,bincode,idx=7; size=35038,35038,bytes,36387831.0,ns,456
ser_header,bincode,idx=7; size=35038,35038,bytes,54511716.0,ns,684
ser_header,bincode,idx=7; size=35038,35038,bytes,72675068.0,ns,912
ser_header,bincode,idx=7; size=35038,35038,bytes,90842192.0,ns,1140
ser_header,bincode,idx=7; size=35038,35038,bytes,109964835.0,ns,1368
ser_header,bincode,idx=7; size=35038,35038,bytes,127827604.0,ns,1596
ser_header,bincode,idx=7; size=35038,35038,bytes,145639565.0,ns,1824
ser_header,bincode,idx=7; size=35038,35038,bytes,163552454.0,ns,2052
ser_header,bincode,idx=7; size=35038,35038,bytes,181890726.0,ns,2280
