group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ser_header,bincode,idx=4; size=87633,87633,bytes,1183888.0,ns,7
ser_header,bincode,idx=4; size=87633,87633,bytes,2079975.0,ns,14
ser_header,bincode,idx=4; size=87633,87633,bytes,3157013.0,ns,21
ser_header,bincode,idx=4; size=87633,87633,bytes,4267997.0,ns,28
ser_header,bincode,idx=4; size=87633,87633,bytes,5235320.0,ns,35
ser_header,bincode,idx=4; size=87633,87633,bytes,6326080.0,ns,42
ser_header,bincode,idx=4; size=87633,87633,bytes,7301164.0,ns,49
ser_header,bincode,idx=4; size=87633,87633,bytes,8293899.0,ns,56
ser_header,bincode,idx=4; size=87633,87633,bytes,9708713.0,ns,63
ser_header,bincode,idx=4; size=87633,87633,bytes,10483873.0,ns,70
ser_header,bincode,idx=4; size=87633,87633,bytes,11675444.0,ns,77
ser_header,bincode,idx=4; size=87633,87633,bytes,12669576.0,ns,84
ser_header,bincode,idx=4; size=87633,87633,bytes,13627716.0,ns,91
ser_header,bincode,idx=4; size=87633,87633,bytes,14544740.0,ns,98
ser_header,bincode,idx=4; size=87633,87633,bytes,15548278.0,ns,105
ser_header,bincode,idx=4; size=87633,87633,bytes,16658124.0,ns,112
ser_header,bincode,idx=4; size=87633,87633,bytes,17634599.0,ns,119
ser_header,bincode,idx=4; size=87633,87633,bytes,18757868.0,ns,126
ser_header,bincode,idx=4; size=87633,87633,bytes,19741603.0,ns,133
ser_header,bincode,idx=4; size=87633,87633,bytes,20693265.0,ns,140
ser_header,bincode,idx=4; size=87633,87633,bytes,21794888.0,ns,147
ser_header,bincode,idx=4; size=87633,87633,bytes,23435820.0,ns,154
ser_header,bincode,idx=4; size=87633,87633,bytes,24034699.0,ns,161
ser_header,bincode,idx=4; size=87633,87633,bytes,24863022.0,ns,168
ser_header,bincode,idx=4; size=87633,87633,bytes,26026770.0,ns,175
ser_header,bincode,idx=4; size=87633,87633,bytes,26984619.0,ns,182
ser_header,bincode,idx=4; size=87633,87633,bytes,28479023.0,ns,189
ser_header,bincode,idx=4; size=87633,87633,bytes,29316712.0,ns,196
ser_header,bincode,idx=4; size=87633,87633,bytes,30487681.0,ns,203
ser_header,bincode,idx=4; size=87633,87633,bytes,31630941.0,ns,210
ser_header,bincode,idx=4; size=87633,87633,bytes,32282075.0,ns,217
